slug,url,pref,display_name
chiba,https://www.city.chiba.jp/business/shigoto/noringyo/index.html,千葉県,千葉市
choshi,https://www.city.choshi.chiba.jp/cat/cat_sangyo/cat_1800/index.html,千葉県,銚子市
ichikawa,https://www.city.ichikawa.lg.jp/eco03/1111000009.html,千葉県,市川市
funabashi,https://www.city.funabashi.lg.jp/jigyou/nousuisan/001/p016220.html,千葉県,船橋市
tateyama,https://www.city.tateyama.chiba.jp/category/sangyo/,千葉県,館山市
kisarazu,https://www.city.kisarazu.lg.jp/jigyosya/nogyo/,千葉県,木更津市
matsudo,https://www.city.matsudo.chiba.jp/jigyosya/nougyou/index.html,千葉県,松戸市
noda,https://www.city.noda.chiba.jp/soshiki/sangyou/nogyo/,千葉県,野田市
mobara,https://www.city.mobara.chiba.jp/0000002015.html,千葉県,茂原市
narita,https://www.city.narita.chiba.jp/business/index0053.html,千葉県,成田市
sakura,https://www.city.sakura.lg.jp/global/shigoto_sangyo/noringyo/index.html,千葉県,佐倉市
togane,https://www.city.togane.chiba.jp/category/4/,千葉県,東金市
asahi,https://www.city.asahi.lg.jp/sangyo/nogyo/index.html,千葉県,旭市
narashino,https://www.city.narashino.lg.jp/jigyosha/index.html,千葉県,習志野市
kashiwa,https://www.city.kashiwa.lg.jp/jigyosha/promotion/nogyosha/index.html,千葉県,柏市
katsuura,https://www.city.katsuura.lg.jp/life/5/19/75/,千葉県,勝浦市
ichihara,https://www.city.ichihara.chiba.jp/category/sangyo/nogyo/,千葉県,市原市
nagareyama,https://www.city.nagareyama.chiba.jp/category/sangyo/nogyo/,千葉県,流山市
yachiyo,https://www.city.yachiyo.lg.jp/life/2/22/110/,千葉県,八千代市
abiko,https://www.city.abiko.chiba.jp/soshiki/sangyoubu/nogyo/,千葉県,我孫子市
kamogawa,https://www.city.kamogawa.lg.jp/soshiki/sangyou/nogyo/,千葉県,鴨川市
kamagaya,https://www.city.kamagaya.chiba.jp/jigyosha/nogyo/index.html,千葉県,鎌ケ谷市
kimitsu,https://www.city.kimitsu.lg.jp/,千葉県,君津市
futtsu,https://www.city.futtsu.lg.jp/category/3-2-1-0-0-0-0-0-0-0.html,千葉県,富津市
urayasu,https://www.city.urayasu.lg.jp/,千葉県,浦安市
yotsukaido,https://www.city.yotsukaido.chiba.jp/,千葉県,四街道市
sodegaura,https://www.city.sodegaura.lg.jp/soshiki/sangyouka/nogyo/,千葉県,袖ケ浦市
yachimata,https://www.city.yachimata.lg.jp/soshiki/sangyou/nogyo/,千葉県,八街市
inzai,https://www.city.inzai.lg.jp/category/12-1-0-0-0.html,千葉県,印西市
shiroi,https://www.city.shiroi.chiba.jp/sangyo/nogyo/index.html,千葉県,白井市
tomisato,https://www.city.tomisato.lg.jp/soshiki/sangyou/nogyo/,千葉県,富里市
minamiboso,https://www.city.minamiboso.chiba.jp/0000001191.html,千葉県,南房総市
sosa,https://www.city.sosa.lg.jp/soshiki/sangyou/nogyo/,千葉県,匝瑳市
katori,https://www.city.katori.lg.jp/shisei/soshiki/nogyo/index.html,千葉県,香取市
sammu,https://www.city.sammu.lg.jp/soshiki/sangyou/nogyo/,千葉県,山武市
isumi,https://www.city.isumi.lg.jp/soshiki/sangyoseisakuka/nogyo/,千葉県,いすみ市
oamishirasato,https://www.city.oamishirasato.lg.jp/,千葉県,大網白里市
shisui,https://www.town.shisui.chiba.jp/category/bunya/sangyoshigoto/nougyou/,千葉県,酒々井町
sakae,https://www.town.sakae.chiba.jp/business/nougyou/page005656.html,千葉県,栄町
kozaki,https://www.town.kozaki.chiba.jp/business/sangyo/index.html,千葉県,神崎町
tako,https://www.town.tako.chiba.jp/category/bunya/nourin/,千葉県,多古町
tohnosho,https://www.town.tohnosho.chiba.jp/shigoto_sangyo/sangyoshinko/nogyo_ringyo_suisangyo/index.html,千葉県,東庄町
kujukuri,https://www.town.kujukuri.chiba.jp/,千葉県,九十九里町
shibayama,https://www.town.shibayama.lg.jp/category/23-12-0-0-0-0-0-0-0-0.html,千葉県,芝山町
yokoshibahikari,https://www.town.yokoshibahikari.chiba.jp/,千葉県,横芝光町
ichinomiya,https://www.town.ichinomiya.chiba.jp/machizukuri/farming/,千葉県,一宮町
mutsuzawa,https://www.town.mutsuzawa.chiba.jp/,千葉県,睦沢町
shirako,https://www.town.shirako.lg.jp/category/4-22-0-0-0-0-0-0-0-0.html,千葉県,白子町
nagara,https://www.town.nagara.chiba.jp/,千葉県,長柄町
chonan,https://www.town.chonan.chiba.jp/sangyou/,千葉県,長南町
otaki,https://www.town.otaki.chiba.jp/sangyou_roudou/index.html,千葉県,大多喜町
onjuku,https://www.town.onjuku.chiba.jp/sub4/1/,千葉県,御宿町
kyonan,https://www.town.kyonan.chiba.jp/,千葉県,鋸南町
chosei,https://www.vill.chosei.chiba.jp/index.html,千葉県,長生村
yokohama,https://www.city.yokohama.lg.jp/,神奈川県,横浜市
kawasaki,https://www.city.kawasaki.jp/,神奈川県,川崎市
sagamihara,https://www.city.sagamihara.kanagawa.jp/,神奈川県,相模原市
yokosuka,https://www.city.yokosuka.kanagawa.jp/,神奈川県,横須賀市
hiratsuka,https://www.city.hiratsuka.kanagawa.jp/,神奈川県,平塚市
kamakura,https://www.city.kamakura.kanagawa.jp/,神奈川県,鎌倉市
fujisawa,https://www.city.fujisawa.kanagawa.jp/,神奈川県,藤沢市
odawara,https://www.city.odawara.kanagawa.jp/,神奈川県,小田原市
chigasaki,https://www.city.chigasaki.kanagawa.jp/,神奈川県,茅ヶ崎市
zushi,https://www.city.zushi.kanagawa.jp/,神奈川県,逗子市
miura,https://www.city.miura.kanagawa.jp/,神奈川県,三浦市
hadano,https://www.city.hadano.kanagawa.jp/,神奈川県,秦野市
atsugi,https://www.city.atsugi.kanagawa.jp/,神奈川県,厚木市
yamato,https://www.city.yamato.kanagawa.jp/,神奈川県,大和市
isehara,https://www.city.isehara.kanagawa.jp/,神奈川県,伊勢原市
ebina,https://www.city.ebina.kanagawa.jp/,神奈川県,海老名市
zama,https://www.city.zama.kanagawa.jp/,神奈川県,座間市
minamiashigara,https://www.city.minamiashigara.kanagawa.jp/,神奈川県,南足柄市
ayase,https://www.city.ayase.kanagawa.jp/,神奈川県,綾瀬市
hayama,https://www.town.hayama.lg.jp/,神奈川県,葉山町
samukawa,https://www.town.samukawa.kanagawa.jp/,神奈川県,寒川町
oiso,https://www.town.oiso.kanagawa.jp/,神奈川県,大磯町
ninomiya,https://www.town.ninomiya.kanagawa.jp/,神奈川県,二宮町
nakai,https://www.town.nakai.kanagawa.jp/,神奈川県,中井町
oi,https://www.town.oi.kanagawa.jp/,神奈川県,大井町
matsuda,https://www.town.matsuda.kanagawa.jp/,神奈川県,松田町
yamakita,https://www.town.yamakita.kanagawa.jp/,神奈川県,山北町
kaisei,https://www.town.kaisei.kanagawa.jp/,神奈川県,開成町
hakone,https://www.town.hakone.kanagawa.jp/,神奈川県,箱根町
manazuru,https://www.town.manazuru.kanagawa.jp/,神奈川県,真鶴町
yugawara,https://www.town.yugawara.kanagawa.jp/,神奈川県,湯河原町
aikawa,https://www.town.aikawa.kanagawa.jp/,神奈川県,愛川町
kiyokawa,https://www.vill.kiyokawa.kanagawa.jp/,神奈川県,清川村
tsu,https://www.city.tsu.mie.jp/,三重県,津市
yokkaichi,https://www.city.yokkaichi.mie.jp/,三重県,四日市市
ise,https://www.city.ise.mie.jp/,三重県,伊勢市
matsusaka,https://www.city.matsusaka.mie.jp/,三重県,松阪市
kuwana,https://www.city.kuwana.lg.jp/,三重県,桑名市
suzuka,https://www.city.suzuka.lg.jp/,三重県,鈴鹿市
nabari,https://www.city.nabari.lg.jp/,三重県,名張市
owase,https://www.city.owase.lg.jp/,三重県,尾鷲市
kameyama,https://www.city.kameyama.mie.jp/,三重県,亀山市
toba,https://www.city.toba.mie.jp/,三重県,鳥羽市
kumano,https://www.city.kumano.mie.jp/,三重県,熊野市
inabe,https://www.city.inabe.mie.jp/,三重県,いなべ市
shima,https://www.city.shima.mie.jp/,三重県,志摩市
iga,https://www.city.iga.lg.jp/,三重県,伊賀市
kisosaki,https://www.town.kisosaki.mie.jp/,三重県,木曽岬町
toin,https://www.town.toin.mie.jp/,三重県,東員町
komono,https://www.town.komono.mie.jp/,三重県,菰野町
asahi-mie,https://www.town.asahi.mie.jp/,三重県,朝日町
kawagoe-mie,https://www.town.kawagoe.mie.jp/,三重県,川越町
taki,https://www.town.taki.mie.jp/,三重県,多気町
meiwa,https://www.town.meiwa.mie.jp/,三重県,明和町
odai,https://www.town.odai.mie.jp/,三重県,大台町
tamaki,https://www.town.tamaki.mie.jp/,三重県,玉城町
watarai,https://www.town.watarai.mie.jp/,三重県,度会町
taiki,https://www.town.taiki.mie.jp/,三重県,大紀町
minamiise,https://www.town.minamiise.mie.jp/,三重県,南伊勢町
kihoku,https://www.town.kihoku.mie.jp/,三重県,紀北町
mihama,https://www.town.mihama.mie.jp/,三重県,御浜町
kiho,https://www.town.kiho.mie.jp/,三重県,紀宝町
